College,CreditCard,FoodSpend,Income,TravelSpend
No,Yes,3570.78,46050,1105.35
No,No,2487.89,65982,1715.25
No,No,4148.56,58520,3902.4
No,No,5110.54,57274,1377.45
Yes,Yes,2482.76,58520,2309.25
Yes,No,2638.87,44720,3926.1
No,No,3152,42162,2169
No,No,4641.26,54422,4458
Yes,No,5791.78,42414,1284.3
No,Yes,5918.84,46050,751.5
Yes,Yes,4860.36,46050,1086.3
No,Yes,2605.05,49412,3030
No,No,6460.84,57274,3852.9
No,No,4157.61,57274,2337.15
No,Yes,5089.75,49412,996.9
No,No,3474.23,65982,2320.95
No,Yes,4959.21,54422,1505.4
Yes,No,5433.17,53504,1915.05
No,No,2548.46,65982,4534.95
No,No,6589.49,58110,1947
No,No,6334.03,53986,2500.05
No,No,2626.9,65982,1758.45
No,No,7702.88,60248,3882.75
No,Yes,2659.94,52092,2499.9
Yes,No,5433.17,53504,1915.05
Yes,No,2796.6,49150,2195.4
Yes,No,2883.65,49150,1711.95
No,No,4351.31,46050,1169.7
No,No,6205.97,58520,3667.5
Yes,No,2386.85,65982,1859.55
No,No,2421.04,65982,2321.1
No,No,6166.1,49412,3691.5
Yes,No,3784.94,53362,3082.65
No,No,9174.83,60248,2794.2
No,Yes,9819.56,49412,787.95
No,No,4033.32,57274,3679.2
No,No,1888.3,60248,4372.65
No,No,7520.09,57274,1748.55
No,No,2617.87,50900,3359.85
No,No,2946.23,44076,2464.5
Yes,No,4580.05,47308,1994.1
No,Yes,5588.72,61832,1512
No,No,2587.89,65982,1784.25
No,No,5976.02,57274,4080.9
No,No,2712.37,53986,1599
Yes,No,2828.16,53504,1847.7
No,No,5505.79,58110,1653.75
Yes,No,3247.31,58520,2050.2
Yes,No,4633.51,60536,1878.75
No,No,5430.52,53012,3140.25
Yes,No,7577.56,53504,1991.55
No,Yes,5130.29,57274,955.35
No,Yes,3363.8,53012,1161.9
No,No,2587.89,65982,1784.25
No,No,4037.09,54422,1674.9
No,No,2487.89,65982,1715.25
Yes,No,3503.11,44720,1798.5
Yes,Yes,9062.95,49150,870.45
Yes,Yes,2044.21,58520,1856.1
No,Yes,5328.85,59692,945.9
Yes,Yes,5454.19,69760,637.05
No,No,8714.03,65982,3760.95
No,Yes,2668.2,58520,1126.05
Yes,Yes,2482.76,58520,2309.25
Yes,No,4568.58,52092,2113.5
Yes,No,3472.17,53504,2902.5
Yes,No,4133.35,60248,2377.5
No,No,2892.9,65982,4096.8
No,No,6372.59,57380,2142.45
No,No,6438.27,54422,5242.95
No,No,5605.06,60248,4805.55
No,No,4409.42,58520,4194.15
No,No,4988.83,53986,1059.3
No,Yes,2710.38,46050,1724.25
Yes,Yes,3699.42,49150,2122.2
Yes,Yes,2553.17,49004,1599.75
No,No,2421.04,65982,2321.1
No,Yes,8437.67,53012,2543.7
Yes,No,4581.03,53986,1391.7
No,No,7046.98,58110,3607.2
No,Yes,5826.14,37866,979.65
Yes,Yes,2366.36,44720,1772.55
No,Yes,5281.56,59692,956.4
No,Yes,3627.46,58520,1702.5
Yes,No,4567.2,49412,3117.45
No,Yes,4343.85,54422,1916.7
Yes,No,3081.34,44720,1887
No,No,3152,42162,2169
No,Yes,2909.15,49412,1951.35
No,No,4358.51,61832,4215.9
No,No,3585.86,42250,2251.95
No,No,5497.26,60248,5249.55
No,No,6825.49,58110,2548.8
No,Yes,7231.62,29200,910.95
No,Yes,2297.85,58520,2281.5
Yes,Yes,8072.26,49150,853.65
No,Yes,4787.55,59692,1262.25
No,No,2421.04,65982,2321.1
Yes,No,2040.42,58520,2182.95
No,No,6108.57,65982,2851.35
No,Yes,3153.68,49412,1379.55
Yes,Yes,2173.45,44720,1317
No,No,2517.74,49412,4897.05
No,No,7516.35,57274,4875.3
No,Yes,5135.88,61832,1174.5
No,No,4040.09,65982,2014.5
No,No,3146.68,46050,2310.9
Yes,Yes,9592.99,49412,793.8
No,Yes,6039.76,49412,1461.9
Yes,No,4891.84,53986,1310.25
Yes,Yes,2275.24,44720,2437.95
No,No,5137.41,53986,2637.15
Yes,No,2422.98,65982,1858.35
No,Yes,4745.3,54422,3615.6
No,No,5068.53,58520,4374.9
No,Yes,5502.33,47330,1007.55
Yes,Yes,1771.85,50900,1820.25
Yes,No,2828.16,53504,1847.7
Yes,Yes,6906.75,49150,797.1
No,No,3266.44,63962,1641.6
No,No,3289.86,49004,1514.25
Yes,Yes,2522.01,49412,833.55
Yes,Yes,5553.16,49150,1300.65
No,Yes,5569.75,53012,1849.05
No,No,4468.8,53986,3497.4
No,Yes,5201.65,61832,949.5
No,Yes,4876.68,47806,1448.7
Yes,Yes,5296.51,52818,673.35
Yes,Yes,2318.28,49150,1037.85
No,Yes,5218.38,59692,1049.25
No,No,6108.57,65982,2851.35
No,No,5792.28,58520,2610.9
No,No,4103.1,58110,3070.2
No,No,3647.27,65982,3225.15
No,No,2313.6,65982,4487.55
No,Yes,4109.87,58520,1020.9
Yes,No,4681.68,53012,1700.85
No,Yes,5230.32,58520,1016.55
No,No,8117.12,51648,3875.55
Yes,No,4580.05,47308,1994.1
No,No,3911.17,58520,2353.95
No,Yes,2657.35,58520,1282.05
No,Yes,2711.42,58520,2784.75
No,No,2024.97,50900,1747.8
No,No,4317.66,53986,4041.45
No,No,4579.82,58520,2905.05
No,Yes,3942.83,54422,2929.2
No,No,4478.87,53986,2956.5
No,Yes,5149.03,57274,992.1
Yes,Yes,3552.11,49150,746.55
Yes,Yes,3076.53,47308,1491.45
No,No,6317.55,49450,3514.65
No,No,9249.13,53012,4298.1
No,Yes,4956.27,47806,950.85
No,No,4624.9,53986,1709.85
No,Yes,4109.87,58520,1020.9
No,No,3543.34,65982,2934.6
No,Yes,3467.7,54422,1576.95
No,No,4248.47,53986,1876.35
No,No,4213.71,58110,3847.2
Yes,No,4956.58,49004,1737.6
No,No,4221.56,50900,2738.4
No,No,6143.2,57478,4175.85
No,No,2806.92,65982,1812.6
No,Yes,3503.22,46050,2058
No,No,2626.9,65982,1758.45
No,No,4202.66,53986,3163.5
No,No,2712.37,53986,1599
Yes,No,7105.01,50108,1797.6
Yes,No,3081.34,44720,1887
No,No,4409.42,58520,4194.15
Yes,No,4628.94,49412,3876.45
No,Yes,4356.12,44076,1980.75
No,No,5559.43,60248,5515.8
No,No,4148.56,58520,3902.4
No,No,3654.11,58520,4412.7
No,No,2995.1,44076,3130.65
Yes,No,3947.24,58520,2533.8
No,Yes,1572.93,47806,3003
No,No,4711.47,57274,3447.6
Yes,No,3787.29,65982,2058.75
No,No,6460.84,57274,3852.9
No,No,3585.86,42250,2251.95
Yes,No,1833.95,60248,2000.25
No,No,6205.97,58520,3667.5
